FinalResult,Success
AgentType,AStarAgent
MazeDimensions,10,10
MazeSeed,4
StartTime,2025-05-04 17:30:35
FrameTime,TotalTime,Steps,FPS,MemoryUsage,AvgFPS,MinFPS,MaxFPS
0.13,0.13,1,224.1,619800,224.1,224.1,224.1
0.23,0.23,2,242.6,619816,233.3,224.1,242.6
0.34,0.34,3,263.5,619840,243.4,224.1,263.5
0.44,0.44,4,251.0,619860,245.3,224.1,263.5
0.54,0.54,5,248.4,619884,245.9,224.1,263.5
0.64,0.64,6,241.7,619908,245.2,224.1,263.5
0.74,0.74,7,275.8,619928,249.6,224.1,275.8
0.85,0.85,8,255.0,619952,250.2,224.1,275.8
0.95,0.95,9,252.1,619976,250.5,224.1,275.8
1.05,1.05,10,253.3,620000,250.7,224.1,275.8
1.15,1.15,11,256.9,620020,251.3,224.1,275.8
1.26,1.26,12,232.3,620044,249.7,224.1,275.8
1.36,1.36,13,197.0,620084,245.7,197.0,275.8
1.46,1.46,14,239.6,620132,245.2,197.0,275.8
1.56,1.56,15,233.2,620184,244.4,197.0,275.8
1.66,1.66,16,256.2,620296,245.2,197.0,275.8
1.76,1.76,17,272.9,620404,246.8,197.0,275.8
1.87,1.87,18,266.8,620516,247.9,197.0,275.8
